Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,369.0,370.0,359.5,362.0,362.0,3304
2022-01-05,360.0,363.0,347.5,354.0,354.0,1606
2022-01-06,347.0,352.0,344.5,350.0,350.0,1412
2022-01-07,345.0,351.5,345.0,347.5,347.5,869
2022-01-10,345.0,346.0,333.0,338.0,338.0,2903
2022-01-11,333.5,341.5,333.0,338.0,338.0,1351
2022-01-12,338.0,338.0,330.0,332.5,332.5,1549
2022-01-13,330.5,334.0,325.0,327.0,327.0,1417
2022-01-14,316.0,326.0,307.0,312.0,312.0,7366
2022-01-17,300.0,310.5,295.5,308.0,308.0,13529
2022-01-18,310.5,328.0,308.0,326.5,326.5,6218
2022-01-19,330.0,330.0,317.0,320.0,320.0,2296
2022-01-20,325.0,325.0,314.5,321.5,321.5,3039
2022-01-21,321.0,328.5,320.0,326.5,326.5,1588
2022-01-24,326.5,326.5,313.0,320.0,320.0,2871
2022-01-25,323.0,332.0,319.0,331.0,331.0,4906
2022-01-26,329.5,341.5,325.5,336.0,336.0,3339
2022-01-27,334.0,334.0,315.0,320.5,320.5,3046
2022-01-28,321.0,321.0,300.0,311.5,311.5,4679
2022-01-31,321.0,333.0,318.5,321.5,321.5,4468
2022-02-01,326.0,330.0,323.5,327.0,327.0,1827
2022-02-02,329.0,339.5,329.0,333.0,333.0,1639
2022-02-03,337.5,337.5,327.5,328.0,328.0,1595
2022-02-04,335.0,335.0,322.0,324.5,324.5,1050
2022-02-07,324.0,324.0,315.0,316.0,316.0,819
2022-02-08,318.0,328.5,318.0,324.5,324.5,2129
2022-02-09,328.0,331.0,321.5,324.0,324.0,1886
2022-02-10,320.5,326.0,320.0,322.5,322.5,598
2022-02-11,325.0,328.5,321.0,324.5,324.5,1649
2022-02-14,326.0,327.5,314.0,325.0,325.0,2944
2022-02-15,325.0,357.5,325.0,353.5,353.5,6102
2022-02-16,356.5,360.0,343.0,345.0,345.0,2757
2022-02-17,348.0,350.5,334.0,334.0,334.0,1814
2022-02-18,332.0,345.5,330.5,336.0,336.0,2157
2022-02-21,339.5,349.5,319.0,322.5,322.5,2928
2022-02-22,315.5,330.0,312.5,325.0,325.0,4868
2022-02-23,319.0,328.0,319.0,322.5,322.5,2895
2022-02-24,315.0,320.0,305.5,312.5,312.5,4376
2022-02-25,305.0,320.0,305.0,318.5,318.5,2251
2022-02-28,313.5,319.5,304.5,316.5,316.5,2583
2022-03-01,324.5,324.5,306.5,306.5,306.5,4587
2022-03-02,307.0,313.0,301.0,304.0,304.0,3027
2022-03-03,300.0,314.5,300.0,307.0,307.0,2132
2022-03-04,302.0,304.5,289.5,289.5,289.5,3068
2022-03-07,285.0,296.5,279.0,294.0,294.0,5244
2022-03-08,294.0,297.5,277.0,277.0,277.0,3122
2022-03-09,289.0,306.0,286.5,302.0,302.0,6699
2022-03-10,309.0,309.0,302.5,307.5,307.5,1338
2022-03-11,307.0,316.5,304.0,306.5,306.5,1114
2022-03-14,310.0,322.0,309.5,316.0,316.0,1362
2022-03-15,319.5,319.5,308.5,313.5,313.5,1019
2022-03-16,324.0,329.0,320.5,326.0,326.0,1154
2022-03-17,330.0,351.0,322.0,326.5,326.5,2349
2022-03-18,327.0,329.5,310.0,329.5,329.5,6181
2022-03-21,318.0,326.5,318.0,321.5,321.5,1048
2022-03-22,323.0,328.0,317.0,327.5,327.5,1394
2022-03-23,324.5,329.5,318.0,319.0,319.0,1089
2022-03-24,317.0,320.0,307.0,308.5,308.5,3223
2022-03-25,305.0,317.0,303.5,305.0,305.0,1238
